;Junior PM;Mid PM;Senior PM;Principal PM
Execution & Delivery;0,5;1;1;1
Prioritization;0,5;1;1;1
Communication;0,5;1;1;1
Roadmapping & Metrics;0,2;1;1;1
Stakeholder Collaboration;0,2;0,5;1;1
Strategy & Vision;0;0;0,5;1
Leadership;0;0;0,5;1
People Management;0;0;0,5;1
GTM & Marketing;0;0;0,2;0,5
Pricing & Revenue;0;0;0,2;0,5
Technical Fluency;0,1;0,5;1;0,7
Data Literacy;0,1;0,5;0,7;1
Customer Discovery;0,1;0,5;0,5;1
Product & Market Discovery;0;0,5;0,5;1
UX & Design;0;0,5;0,5;0,7
Domain Expertise;0;0,5;0,5;0,7
Market & Regional Insights;0;0;0,5;0,7