;AI PM;Growth PM;B2B SaaS PM;Corporate PM;Platform PM;Internal Tools PM
Execution & Delivery;1;1;1;1;1;1
Prioritization;1;1;1;1;1;1
Communication;1;1;1;1;1;1
Roadmapping & Metrics;1;1;1;1;1;1
Stakeholder Collaboration;1;1;1;1;1;1
Strategy & Vision;1;0,5;1;1;1;0,5
Leadership;0,5;0,5;1;1;1;0,5
People Management;0,5;0,5;0,5;0,8;0,5;0,7
GTM & Marketing;0,5;1;0,5;0,2;0,2;0
Pricing & Revenue;0,5;1;0,5;0,2;0,2;0,2
Technical Fluency;1;0,5;0,5;0,3;1;0,8
Data Literacy;1;1;1;0,5;0,5;0,5
Customer Discovery;1;1;1;0,5;0,5;0,5
Product & Market Discovery;1;1;1;0,5;0,5;0
UX & Design;1;0,5;1;0,5;0,5;0,5
Domain Expertise;0,5;0,5;0,5;1.0;1;0,3
Market & Regional Insights;0,5;0,5;0,5;1.0;1;0